mode,top1_accuracy,top3_accuracy,top5_accuracy,mrr,recall_at_gt,abstention_rate,hallucination_rate,validation_coverage,grounding_rate,roc_auc,brier_score,ece,execution_error_rate,mean_end_to_end_seconds,mean_llm_seconds,mean_api_cost_per_row_usd,total_api_cost_usd
public,0.5871559633027523,0.6238532110091743,0.6238532110091743,0.6055045871559633,0.5848623853211009,0.22018348623853212,0.052941176470588235,1.0,1.0,0.8745349702380952,0.20777588235294117,0.21217647058823533,0.0,6.369401158857476,4.848084373261572,0.0009532074311926605,0.20779922
local,0.7155963302752294,0.7798165137614679,0.7798165137614679,0.746177370030581,0.713302752293578,0.05963302752293578,0.07804878048780488,1.0,1.0,0.8084772370486656,0.20776975609756096,0.20214634146341465,0.0,5.11087458180755,4.765082457575972,0.0008044003669724771,0.17535928
disabled,0.4908256880733945,0.4908256880733945,0.4908256880733945,0.4908256880733945,0.4908256880733945,0.28440366972477066,0.055944055944055944,1.0,0.0,0.6403167185877466,0.18872797202797204,0.097972027972028,0.05963302752293578,5.567366404060772,2.272630634534065,0.00023685692307692305,0.0030791399999999997
