benchmark,method,denominator_n,total_n,same,more_specific,more_general,sibling,unrelated
UKBB-EFO,Our method,884,888,0.7952488687782805,0.016968325791855202,0.029411764705882353,0.013574660633484163,0.14479638009049775
UKBB-EFO,text2term,899,899,0.7341490545050056,0.03781979977753059,0.02224694104560623,0.014460511679644048,0.19132369299221358
Biomappings-EFO,Our method,787,795,0.9707750952986023,0.0,0.0012706480304955528,0.005082592121982211,0.022871664548919948
Biomappings-EFO,text2term,795,795,0.7874213836477988,0.0,0.0025157232704402514,0.05911949685534591,0.1509433962264151
OLS-EFO (full),Our method,7277,7377,0.8462278411433283,0.007283221107599286,0.009481929366497183,0.006046447711969218,0.13096056067060602
OLS-EFO (full),text2term,8143,8143,0.8090384379221417,0.011175242539604568,0.006754267468991772,0.010929632813459413,0.16210241925580254
