benchmark,method,n,same,more_specific,more_general,sibling,unrelated,no_top_1_prediction
UKBB-EFO,Our method,888,0.7916666666666666,0.016891891891891893,0.02927927927927928,0.013513513513513514,0.14414414414414414,0.0045045045045045045
UKBB-EFO,text2term,899,0.7341490545050056,0.03781979977753059,0.02224694104560623,0.014460511679644048,0.19132369299221358,0.0
Biomappings-EFO,Our method,795,0.9610062893081761,0.0,0.0012578616352201257,0.005031446540880503,0.022641509433962263,0.010062893081761006
Biomappings-EFO,text2term,795,0.7874213836477988,0.0,0.0025157232704402514,0.05911949685534591,0.1509433962264151,0.0
OLS-EFO (full),Our method,7377,0.8347566761556188,0.0071844923410600515,0.009353395689304595,0.0059644842076724955,0.12918530567981565,0.013555645926528399
OLS-EFO (full),text2term,8143,0.8090384379221417,0.011175242539604568,0.006754267468991772,0.010929632813459413,0.16210241925580254,0.0
