benchmark,method,n,top1,top3,top5,mrr
UKBB-EFO,LLM Ontology Mapper,888,0.7905405405405406,0.8873873873873874,0.8975225225225225,0.8395833333333332
UKBB-EFO,text2term (t2t),888,0.716,0.81,0.833,0.765
Biomappings-EFO,LLM Ontology Mapper,795,0.9534591194968554,0.9660377358490566,0.9660377358490566,0.959538784067086
Biomappings-EFO,text2term (t2t),795,0.791,0.897,0.932,0.848
OLS-EFO (full),LLM Ontology Mapper,7377,0.8342144503185577,0.8582079436085129,0.8598346211196963,0.8457841941168497
OLS-EFO (full),text2term (t2t),7504,0.792,0.835,0.842,0.813
