benchmark,n,top1,top3,top5,mrr,run_dir,model,retrieval_mode,target_ontology,strict_target_ontology
UKBB-EFO,888,0.7916666666666666,0.8941441441441441,0.9054054054054054,0.8435623123123124,outputs/evaluation/scenario1_ukbb_efo_patched/2026-09-04T17-41-38Z,gpt-5.6-luna,local,EFO,False
Biomappings-EFO,795,0.9610062893081761,0.9786163522012579,0.9786163522012579,0.969601677148847,outputs/evaluation/scenario1_biomappings_efo_patched/2026-09-04T17-45-52Z,gpt-5.6-luna,local,EFO,False
OLS-EFO (full),7377,0.8347566761556188,0.8599701775789617,0.8620035244679409,0.8469929058786317,outputs/evaluation/scenario1_ols_efo_patched/2026-09-04T18-00-45Z,gpt-5.6-luna,local,EFO,False
