benchmark,method,n,top1,top3,top5,gold_rank_1,gold_rank_2_3,gold_rank_4_5,no_gold_top5
UKBB-EFO,LLM Ontology Mapper,888,0.7916666666666666,0.8941441441441441,0.9054054054054054,0.7916666666666666,0.10247747747747749,0.011261261261261257,0.09459459459459463
UKBB-EFO,MetaHarmonizer (OM),888,0.779,0.87,0.894,0.779,0.09099999999999997,0.02400000000000002,0.10599999999999998
UKBB-EFO,text2term (t2t),888,0.716,0.81,0.833,0.716,0.09400000000000008,0.02299999999999991,0.16700000000000004
Biomappings-EFO,LLM Ontology Mapper,795,0.9610062893081761,0.9786163522012579,0.9786163522012579,0.9610062893081761,0.017610062893081757,0.0,0.021383647798742134
Biomappings-EFO,MetaHarmonizer (OM),795,0.955,0.982,0.987,0.955,0.027000000000000024,0.0050000000000000044,0.013000000000000012
Biomappings-EFO,text2term (t2t),795,0.791,0.897,0.932,0.791,0.10599999999999998,0.03500000000000003,0.06799999999999995
OLS-EFO (full),LLM Ontology Mapper,7377,0.8347566761556188,0.8599701775789617,0.8620035244679409,0.8347566761556188,0.025213501423342888,0.0020333468889792705,0.13799647553205907
OLS-EFO (full),MetaHarmonizer (OM),7377,0.891,0.915,0.921,0.891,0.02400000000000002,0.006000000000000005,0.07899999999999996
OLS-EFO (full),text2term (t2t),7504,0.792,0.835,0.842,0.792,0.04299999999999993,0.007000000000000006,0.15800000000000003
