benchmark,method,n,top1,top3,top5,mrr
UKBB-EFO,LLM Ontology Mapper,888,0.7916666666666666,0.8941441441441441,0.9054054054054054,0.8435623123123124
UKBB-EFO,MetaHarmonizer (OM),888,0.779,0.87,0.894,0.826
UKBB-EFO,text2term (t2t),888,0.716,0.81,0.833,0.765
Biomappings-EFO,LLM Ontology Mapper,795,0.9610062893081761,0.9786163522012579,0.9786163522012579,0.969601677148847
Biomappings-EFO,MetaHarmonizer (OM),795,0.955,0.982,0.987,0.969
Biomappings-EFO,text2term (t2t),795,0.791,0.897,0.932,0.848
OLS-EFO (full),LLM Ontology Mapper,7377,0.8347566761556188,0.8599701775789617,0.8620035244679409,0.8469929058786317
OLS-EFO (full),MetaHarmonizer (OM),7377,0.891,0.915,0.921,0.903
OLS-EFO (full),text2term (t2t),7504,0.792,0.835,0.842,0.813
